tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,instrImg.started,instrImg.stopped,corrAns,colorName,trialCircle.started,trialCircle.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialText.started,trialText.stopped,trialCount.started,trialCount.stopped,trialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.034700500022154,None,15.034700500022154,None,space,blue,18.768858600000385,None,None,0,18.768858600000385,None,18.768858600000385,None,18.527666600013617,None,,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,1,0,1,0,,,,,space,blue,19.751615500019398,20.5016230000183,None,0,19.751615500019398,20.5016230000183,19.751615500019398,20.5016230000183,19.526507100032177,None,,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,2,0,2,0,,,,,space,blue,20.76814950001426,None,None,0,20.76814950001426,None,20.76814950001426,None,20.527724399988074,None,,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,3,0,3,0,,,,,space,blue,21.75118650001241,None,space,1,21.75118650001241,None,21.75118650001241,None,21.527348100033123,None,0.6472726999782026,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,4,0,4,0,,,,,,orange,22.684115100011695,23.43407840002328,None,0,22.684115100011695,23.43407840002328,22.684115100011695,23.43407840002328,22.43559120001737,None,,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,5,0,5,0,,,,,space,blue,23.700655599997845,None,space,1,23.700655599997845,None,23.700655599997845,None,23.460615499992855,23.460615499992855,0.14563729998189956,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,6,0,6,0,,,,,,orange,24.117320900026243,24.86707480001496,None,0,24.117320900026243,24.86707480001496,24.117320900026243,24.86707480001496,23.882436299987603,None,,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,7,0,7,0,,,,,space,blue,25.13364499999443,None,space,1,25.13364499999443,None,25.13364499999443,None,24.89546180004254,24.89546180004254,0.24940050003351644,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,8,0,8,0,,,,,space,blue,25.65035920002265,None,space,1,25.65035920002265,None,25.65035920002265,None,25.41131789999781,None,0.26794649998191744,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,9,0,9,0,,,,,space,blue,26.16676460002782,None,space,1,26.16676460002782,None,26.16676460002782,None,25.942056700005196,None,0.2955645999754779,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,10,0,10,0,,,,,space,blue,26.71664990001591,None,space,1,26.71664990001591,None,26.71664990001591,None,26.492327200016007,None,0.31399439997039735,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,11,0,11,0,,,,,space,blue,27.299808000039775,None,space,1,27.299808000039775,None,27.299808000039775,None,27.059575400024187,None,0.32282719999784604,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,12,0,12,0,,,,,space,blue,27.89973370003281,None,space,1,27.89973370003281,None,27.89973370003281,None,27.658883800031617,None,0.33071680000284687,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,13,0,13,0,,,,,space,blue,28.48290280002402,None,space,1,28.48290280002402,None,28.48290280002402,None,28.258991300011985,None,0.31597419996978715,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
0,0,0,0,14,0,14,0,,,,,,orange,29.06606310000643,None,space,0,29.06606310000643,None,29.06606310000643,None,28.82789200003026,None,0.30837959999917075,a,001,2020_Aug_01_1605,goNogoAlpha5b,2020.1.3,59.9847998686517,
